Date,Weekly_Sale,Category,Color,Material,Location
2018-11-19,19552,BOOT,BLACK,IMSU,3
2018-11-26,18820,BOOT,BLACK,IMSU,1
2018-12-03,22517,BOOT,BLACK,IMSU,3
2018-12-10,31497,BOOT,BLACK,IMSU,1
2018-12-17,44912,BOOT,BLACK,IMSU,1
2018-12-24,55931,BOOT,BLACK,IMSU,1
2018-12-31,19124,BOOT,BLACK,IMSU,3
2019-01-07,15984,BOOT,BLACK,IMSU,3
2019-01-14,17359,BOOT,BLACK,IMSU,3
2019-01-21,17341,BOOT,BLACK,IMSU,3
2019-01-28,18461,BOOT,BLACK,IMSU,2
2019-02-04,21665,BOOT,BLACK,IMSU,1
2019-02-11,37887,BOOT,BLACK,IMSU,2
2019-02-18,46845,BOOT,BLACK,IMSU,2
2019-02-25,19363,BOOT,BLACK,IMSU,1
2019-03-04,20327,BOOT,BLACK,IMSU,1
2019-03-11,21280,BOOT,BLACK,IMSU,2
2019-03-18,20334,BOOT,BLACK,IMSU,3
2019-03-25,20881,BOOT,BLACK,IMSU,1
2019-04-01,20398,BOOT,BLACK,IMSU,2
2019-04-08,23873,BOOT,BLACK,IMSU,2
2019-04-15,28762,BOOT,BLACK,IMSU,2
2019-04-22,50510,BOOT,BLACK,IMSU,3
2019-04-29,41512,BOOT,BLACK,IMSU,2
2019-05-06,20138,BOOT,BLACK,IMSU,2
2019-05-13,17235,BOOT,BLACK,IMSU,3
2019-05-20,15136,BOOT,BLACK,IMSU,1
2019-05-27,15741,BOOT,BLACK,IMSU,2
2019-06-03,16434,BOOT,BLACK,IMSU,3
2019-06-10,15883,BOOT,BLACK,IMSU,3
2019-06-17,14978,BOOT,BLACK,IMSU,3
2019-06-24,15682,BOOT,BLACK,IMSU,2
2019-07-01,15363,BOOT,BLACK,IMSU,3
2019-07-08,16148,BOOT,BLACK,IMSU,3
2019-07-15,15654,BOOT,BLACK,IMSU,1
2019-07-22,15766,BOOT,BLACK,IMSU,2
2019-07-29,15922,BOOT,BLACK,IMSU,1
2019-08-05,15295,BOOT,BLACK,IMSU,2
2019-08-12,14539,BOOT,BLACK,IMSU,3
2019-08-19,14689,BOOT,BLACK,IMSU,2
2019-08-26,14537,BOOT,BLACK,IMSU,1
2019-09-02,15277,BOOT,BLACK,IMSU,3
2019-09-09,17746,BOOT,BLACK,IMSU,1
2019-09-16,18535,BOOT,BLACK,IMSU,3
2019-09-23,17859,BOOT,BLACK,IMSU,3
2019-09-30,18337,BOOT,BLACK,IMSU,3
2019-10-07,20797,BOOT,BLACK,IMSU,2
2019-10-14,23077,BOOT,BLACK,IMSU,1
2019-10-21,23351,BOOT,BLACK,IMSU,1
2019-10-28,31579,BOOT,BLACK,IMSU,3
2019-11-04,39886,BOOT,BLACK,IMSU,3
2019-11-11,18689,BOOT,BLACK,IMSU,2
2019-11-18,19050,BOOT,BLACK,IMSU,1
2019-11-25,20911,BOOT,BLACK,IMSU,3
2019-12-02,25293,BOOT,BLACK,IMSU,3
2019-12-09,33305,BOOT,BLACK,IMSU,1
2019-12-16,45773,BOOT,BLACK,IMSU,3
2019-12-23,46788,BOOT,BLACK,IMSU,1
2019-12-30,23350,BOOT,BLACK,IMSU,3
2020-01-06,16567,BOOT,BLACK,IMSU,1
2020-01-13,16894,BOOT,BLACK,IMSU,3
2020-01-20,18365,BOOT,BLACK,IMSU,3
2020-01-27,18378,BOOT,BLACK,IMSU,1
2020-02-03,23510,BOOT,BLACK,IMSU,1
2020-02-10,36988,BOOT,BLACK,IMSU,1
2020-02-17,54060,BOOT,BLACK,IMSU,2
2020-02-24,20124,BOOT,BLACK,IMSU,3
2020-03-02,20113,BOOT,BLACK,IMSU,1
2020-03-09,21140,BOOT,BLACK,IMSU,2
2020-03-16,22366,BOOT,BLACK,IMSU,1
2020-03-23,22107,BOOT,BLACK,IMSU,2
2020-03-30,28952,BOOT,BLACK,IMSU,3
2020-04-06,57592,BOOT,BLACK,IMSU,3
2020-04-13,34684,BOOT,BLACK,IMSU,3
2020-04-20,16976,BOOT,BLACK,IMSU,1
2020-04-27,16347,BOOT,BLACK,IMSU,1
2020-05-04,17147,BOOT,BLACK,IMSU,2
2020-05-11,18164,BOOT,BLACK,IMSU,1
2020-05-18,18517,BOOT,BLACK,IMSU,2
2020-05-25,16963,BOOT,BLACK,IMSU,3
2020-06-01,16065,BOOT,BLACK,IMSU,1
2020-06-08,17666,BOOT,BLACK,IMSU,3
2020-06-15,17558,BOOT,BLACK,IMSU,1
2020-06-22,16633,BOOT,BLACK,IMSU,2
2020-06-29,15722,BOOT,BLACK,IMSU,2
2020-07-06,17823,BOOT,BLACK,IMSU,3
2020-07-13,16566,BOOT,BLACK,IMSU,3
2020-07-20,16348,BOOT,BLACK,IMSU,1
2020-07-27,15731,BOOT,BLACK,IMSU,1
2020-08-03,16628,BOOT,BLACK,IMSU,1
2020-08-10,16119,BOOT,BLACK,IMSU,2
2020-08-17,17330,BOOT,BLACK,IMSU,1
2020-08-24,16286,BOOT,BLACK,IMSU,1
2020-08-31,16680,BOOT,BLACK,IMSU,2
2020-09-07,18322,BOOT,BLACK,IMSU,2
2020-09-14,19616,BOOT,BLACK,IMSU,3
2020-09-21,19251,BOOT,BLACK,IMSU,3
2020-09-28,18947,BOOT,BLACK,IMSU,2
2020-10-05,21904,BOOT,BLACK,IMSU,2
2020-10-12,22764,BOOT,BLACK,IMSU,1
2020-10-19,24185,BOOT,BLACK,IMSU,1
2020-10-26,27390,BOOT,BLACK,IMSU,3
2018-02-05,50605,BOOT,BLACK,NBPU,3
2018-02-12,44682,BOOT,BLACK,NBPU,2
2018-02-19,47928,BOOT,BLACK,NBPU,2
2018-02-26,44292,BOOT,BLACK,NBPU,3
2018-03-05,48397,BOOT,BLACK,NBPU,3
2018-03-12,43751,BOOT,BLACK,NBPU,3
2018-03-19,43615,BOOT,BLACK,NBPU,2
2018-03-26,41892,BOOT,BLACK,NBPU,2
2018-04-02,47450,BOOT,BLACK,NBPU,3
2018-04-09,46549,BOOT,BLACK,NBPU,3
2018-04-16,45025,BOOT,BLACK,NBPU,3
2018-04-23,44418,BOOT,BLACK,NBPU,1
2018-04-30,45971,BOOT,BLACK,NBPU,1
2018-05-07,47903,BOOT,BLACK,NBPU,1
2018-05-14,43675,BOOT,BLACK,NBPU,3
2018-05-21,44319,BOOT,BLACK,NBPU,1
2018-05-28,44619,BOOT,BLACK,NBPU,2
2018-06-04,48754,BOOT,BLACK,NBPU,3
2018-06-11,47089,BOOT,BLACK,NBPU,2
2018-06-18,44428,BOOT,BLACK,NBPU,3
2018-06-25,45299,BOOT,BLACK,NBPU,3
2018-07-02,47077,BOOT,BLACK,NBPU,1
2018-07-09,46752,BOOT,BLACK,NBPU,1
2018-07-16,44339,BOOT,BLACK,NBPU,2
2018-07-23,44763,BOOT,BLACK,NBPU,2
2018-07-30,45833,BOOT,BLACK,NBPU,2
2018-08-06,50031,BOOT,BLACK,NBPU,1
2018-08-13,45475,BOOT,BLACK,NBPU,1
2018-08-20,49754,BOOT,BLACK,NBPU,2
2018-08-27,49623,BOOT,BLACK,NBPU,2
2018-09-03,49015,BOOT,BLACK,NBPU,1
2018-09-10,45182,BOOT,BLACK,NBPU,2
2018-09-17,44681,BOOT,BLACK,NBPU,2
2018-09-24,42477,BOOT,BLACK,NBPU,2
2018-10-01,45829,BOOT,BLACK,NBPU,2
2018-10-08,46387,BOOT,BLACK,NBPU,2
2018-10-15,43110,BOOT,BLACK,NBPU,1
2018-10-22,42371,BOOT,BLACK,NBPU,2
2018-10-29,44081,BOOT,BLACK,NBPU,2
2018-11-05,46381,BOOT,BLACK,NBPU,1
2018-11-12,43194,BOOT,BLACK,NBPU,1
2018-11-19,41443,BOOT,BLACK,NBPU,3
2018-11-26,45681,BOOT,BLACK,NBPU,1
2018-12-03,44405,BOOT,BLACK,NBPU,1
2018-12-10,46955,BOOT,BLACK,NBPU,2
2018-12-17,49303,BOOT,BLACK,NBPU,1
2018-12-24,59889,BOOT,BLACK,NBPU,1
2018-12-31,35819,BOOT,BLACK,NBPU,1
2019-01-07,43202,BOOT,BLACK,NBPU,1
2019-01-14,39857,BOOT,BLACK,NBPU,1
2019-01-21,41596,BOOT,BLACK,NBPU,3
2019-01-28,41651,BOOT,BLACK,NBPU,2
2019-02-04,46829,BOOT,BLACK,NBPU,3
2019-02-11,47595,BOOT,BLACK,NBPU,1
2019-02-18,49202,BOOT,BLACK,NBPU,1
2019-02-25,46165,BOOT,BLACK,NBPU,2
2019-03-04,53035,BOOT,BLACK,NBPU,2
2019-03-11,48465,BOOT,BLACK,NBPU,2
2019-03-18,45222,BOOT,BLACK,NBPU,1
2019-03-25,44293,BOOT,BLACK,NBPU,3
2019-04-01,46991,BOOT,BLACK,NBPU,1
2019-04-08,48501,BOOT,BLACK,NBPU,1
2019-04-15,44464,BOOT,BLACK,NBPU,1
2019-04-22,46544,BOOT,BLACK,NBPU,3
2019-04-29,43682,BOOT,BLACK,NBPU,3
2019-05-06,50139,BOOT,BLACK,NBPU,2
2019-05-13,44274,BOOT,BLACK,NBPU,1
2019-05-20,44302,BOOT,BLACK,NBPU,3
2019-05-27,45072,BOOT,BLACK,NBPU,1
2019-06-03,47844,BOOT,BLACK,NBPU,2
2019-06-10,46363,BOOT,BLACK,NBPU,2
2019-06-17,42939,BOOT,BLACK,NBPU,1
2019-06-24,42415,BOOT,BLACK,NBPU,2
2019-07-01,45247,BOOT,BLACK,NBPU,2
2019-07-08,44623,BOOT,BLACK,NBPU,3
2019-07-15,43260,BOOT,BLACK,NBPU,2
2019-07-22,45113,BOOT,BLACK,NBPU,1
2019-07-29,43191,BOOT,BLACK,NBPU,3
2019-08-05,49359,BOOT,BLACK,NBPU,3
2019-08-12,45341,BOOT,BLACK,NBPU,2
2019-08-19,46391,BOOT,BLACK,NBPU,3
2019-08-26,47659,BOOT,BLACK,NBPU,1
2019-09-02,49419,BOOT,BLACK,NBPU,3
2019-09-09,43315,BOOT,BLACK,NBPU,1
2019-09-16,42963,BOOT,BLACK,NBPU,2
2019-09-23,43390,BOOT,BLACK,NBPU,3
2019-09-30,46045,BOOT,BLACK,NBPU,1
2019-10-07,49880,BOOT,BLACK,NBPU,3
2019-10-14,43306,BOOT,BLACK,NBPU,1
2019-10-21,42487,BOOT,BLACK,NBPU,1
2019-10-28,41682,BOOT,BLACK,NBPU,1
2019-11-04,47313,BOOT,BLACK,NBPU,3
2019-11-11,44936,BOOT,BLACK,NBPU,2
2019-11-18,43997,BOOT,BLACK,NBPU,3
2019-11-25,44259,BOOT,BLACK,NBPU,3
2019-12-02,45928,BOOT,BLACK,NBPU,2
2019-12-09,49357,BOOT,BLACK,NBPU,1
2019-12-16,51137,BOOT,BLACK,NBPU,2
2019-12-23,65615,BOOT,BLACK,NBPU,1
2019-12-30,43539,BOOT,BLACK,NBPU,1
2020-01-06,44481,BOOT,BLACK,NBPU,2
2020-01-13,43353,BOOT,BLACK,NBPU,2
2020-01-20,43753,BOOT,BLACK,NBPU,2
2020-01-27,41556,BOOT,BLACK,NBPU,1
2020-02-03,54322,BOOT,BLACK,NBPU,3
2020-02-10,50581,BOOT,BLACK,NBPU,1
2020-02-17,46085,BOOT,BLACK,NBPU,2
2020-02-24,47080,BOOT,BLACK,NBPU,1
2020-03-02,52608,BOOT,BLACK,NBPU,1
2020-03-09,48563,BOOT,BLACK,NBPU,3
2020-03-16,47346,BOOT,BLACK,NBPU,3
2020-03-23,44796,BOOT,BLACK,NBPU,2
2020-03-30,46529,BOOT,BLACK,NBPU,1
2020-04-06,51805,BOOT,BLACK,NBPU,3
2020-04-13,43991,BOOT,BLACK,NBPU,2
2020-04-20,45561,BOOT,BLACK,NBPU,2
2020-04-27,45456,BOOT,BLACK,NBPU,3
2020-05-04,50501,BOOT,BLACK,NBPU,1
2020-05-11,46717,BOOT,BLACK,NBPU,1
2020-05-18,44411,BOOT,BLACK,NBPU,1
2020-05-25,45817,BOOT,BLACK,NBPU,1
2020-06-01,47425,BOOT,BLACK,NBPU,1
2020-06-08,49439,BOOT,BLACK,NBPU,2
2020-06-15,46637,BOOT,BLACK,NBPU,2
2020-06-22,46075,BOOT,BLACK,NBPU,3
2020-06-29,47629,BOOT,BLACK,NBPU,2
2020-07-06,49771,BOOT,BLACK,NBPU,2
2020-07-13,44411,BOOT,BLACK,NBPU,2
2020-07-20,45108,BOOT,BLACK,NBPU,3
2020-07-27,45008,BOOT,BLACK,NBPU,3
2020-08-03,49424,BOOT,BLACK,NBPU,1
2020-08-10,46729,BOOT,BLACK,NBPU,3
2020-08-17,46350,BOOT,BLACK,NBPU,2
2020-08-24,44972,BOOT,BLACK,NBPU,3
2020-08-31,50995,BOOT,BLACK,NBPU,2
2020-09-07,47344,BOOT,BLACK,NBPU,3
2020-09-14,44493,BOOT,BLACK,NBPU,1
2020-09-21,43541,BOOT,BLACK,NBPU,1
2020-09-28,45784,BOOT,BLACK,NBPU,3
2020-10-05,48577,BOOT,BLACK,NBPU,2
2020-10-12,42112,BOOT,BLACK,NBPU,1
2020-10-19,42354,BOOT,BLACK,NBPU,2
2020-10-26,43134,BOOT,BLACK,NBPU,1
2018-02-05,13740,BOOT,DARK-BROWN,IMSU,2
2018-02-12,10887,BOOT,DARK-BROWN,IMSU,3
2018-02-19,11523,BOOT,DARK-BROWN,IMSU,3
2018-02-26,11135,BOOT,DARK-BROWN,IMSU,1
2018-03-05,12275,BOOT,DARK-BROWN,IMSU,3
2018-03-12,10123,BOOT,DARK-BROWN,IMSU,3
2018-03-19,9001,BOOT,DARK-BROWN,IMSU,2
2018-03-26,10366,BOOT,DARK-BROWN,IMSU,1
2018-04-02,11157,BOOT,DARK-BROWN,IMSU,1
2018-04-09,10179,BOOT,DARK-BROWN,IMSU,3
2018-04-16,9226,BOOT,DARK-BROWN,IMSU,1
2018-04-23,8868,BOOT,DARK-BROWN,IMSU,1
2018-04-30,9337,BOOT,DARK-BROWN,IMSU,1
2018-05-07,9372,BOOT,DARK-BROWN,IMSU,2
2018-05-14,7919,BOOT,DARK-BROWN,IMSU,2
2018-05-21,7813,BOOT,DARK-BROWN,IMSU,2
2018-05-28,8412,BOOT,DARK-BROWN,IMSU,3
2018-06-04,8001,BOOT,DARK-BROWN,IMSU,1
2018-06-11,7742,BOOT,DARK-BROWN,IMSU,3
2018-06-18,8201,BOOT,DARK-BROWN,IMSU,1
2018-06-25,6591,BOOT,DARK-BROWN,IMSU,1
2018-07-02,7857,BOOT,DARK-BROWN,IMSU,3
2018-07-09,8112,BOOT,DARK-BROWN,IMSU,3
2018-07-16,13751,BOOT,DARK-BROWN,IMSU,2
2018-07-23,16930,BOOT,DARK-BROWN,IMSU,1
2018-07-30,20915,BOOT,DARK-BROWN,IMSU,2
2018-08-06,26719,BOOT,DARK-BROWN,IMSU,3
2018-08-13,30640,BOOT,DARK-BROWN,IMSU,3
2018-08-20,41101,BOOT,DARK-BROWN,IMSU,2
2018-08-27,51159,BOOT,DARK-BROWN,IMSU,3
2018-09-03,19081,BOOT,DARK-BROWN,IMSU,1
2018-09-10,12134,BOOT,DARK-BROWN,IMSU,3
2018-09-17,10722,BOOT,DARK-BROWN,IMSU,2
2018-09-24,8097,BOOT,DARK-BROWN,IMSU,2
2018-10-01,9775,BOOT,DARK-BROWN,IMSU,2
2018-10-08,10081,BOOT,DARK-BROWN,IMSU,1
2018-10-15,9735,BOOT,DARK-BROWN,IMSU,1
2018-10-22,8614,BOOT,DARK-BROWN,IMSU,2
2018-10-29,9283,BOOT,DARK-BROWN,IMSU,2
2018-11-05,9825,BOOT,DARK-BROWN,IMSU,1
2018-11-12,9146,BOOT,DARK-BROWN,IMSU,3
2018-11-19,9202,BOOT,DARK-BROWN,IMSU,2
2018-11-26,10706,BOOT,DARK-BROWN,IMSU,2
2018-12-03,10856,BOOT,DARK-BROWN,IMSU,1
2018-12-10,11219,BOOT,DARK-BROWN,IMSU,3
2018-12-17,11986,BOOT,DARK-BROWN,IMSU,2
2018-12-24,12080,BOOT,DARK-BROWN,IMSU,1
2018-12-31,8266,BOOT,DARK-BROWN,IMSU,3
2019-01-07,15808,BOOT,DARK-BROWN,IMSU,1
2019-01-14,13275,BOOT,DARK-BROWN,IMSU,1
2019-01-21,12532,BOOT,DARK-BROWN,IMSU,1
2019-01-28,11983,BOOT,DARK-BROWN,IMSU,1
2019-02-04,11012,BOOT,DARK-BROWN,IMSU,1
2019-02-11,11428,BOOT,DARK-BROWN,IMSU,2
2019-02-18,11724,BOOT,DARK-BROWN,IMSU,2
2019-02-25,10473,BOOT,DARK-BROWN,IMSU,2
2019-03-04,11039,BOOT,DARK-BROWN,IMSU,1
2019-03-11,10689,BOOT,DARK-BROWN,IMSU,1
2019-03-18,8148,BOOT,DARK-BROWN,IMSU,2
2019-03-25,9049,BOOT,DARK-BROWN,IMSU,1
2019-04-01,8734,BOOT,DARK-BROWN,IMSU,2
2019-04-08,10417,BOOT,DARK-BROWN,IMSU,1
2019-04-15,8212,BOOT,DARK-BROWN,IMSU,3
2019-04-22,8468,BOOT,DARK-BROWN,IMSU,2
2019-04-29,8653,BOOT,DARK-BROWN,IMSU,2
2019-05-06,10420,BOOT,DARK-BROWN,IMSU,3
2019-05-13,8732,BOOT,DARK-BROWN,IMSU,1
2019-05-20,7939,BOOT,DARK-BROWN,IMSU,2
2019-05-27,8120,BOOT,DARK-BROWN,IMSU,1
2019-06-03,8853,BOOT,DARK-BROWN,IMSU,2
2019-06-10,7508,BOOT,DARK-BROWN,IMSU,1
2019-06-17,7658,BOOT,DARK-BROWN,IMSU,3
2019-06-24,6165,BOOT,DARK-BROWN,IMSU,3
2019-07-01,8070,BOOT,DARK-BROWN,IMSU,3
2019-07-08,7366,BOOT,DARK-BROWN,IMSU,2
2019-07-15,11578,BOOT,DARK-BROWN,IMSU,2
2019-07-22,16069,BOOT,DARK-BROWN,IMSU,1
2019-07-29,21331,BOOT,DARK-BROWN,IMSU,1
2019-08-05,31248,BOOT,DARK-BROWN,IMSU,2
2019-08-12,32148,BOOT,DARK-BROWN,IMSU,3
2019-08-19,41603,BOOT,DARK-BROWN,IMSU,1
2019-08-26,49775,BOOT,DARK-BROWN,IMSU,2
2019-09-02,19604,BOOT,DARK-BROWN,IMSU,2
2019-09-09,12778,BOOT,DARK-BROWN,IMSU,3
2019-09-16,10412,BOOT,DARK-BROWN,IMSU,2
2019-09-23,9755,BOOT,DARK-BROWN,IMSU,3
2019-09-30,10434,BOOT,DARK-BROWN,IMSU,1
2019-10-07,9977,BOOT,DARK-BROWN,IMSU,1
2019-10-14,9870,BOOT,DARK-BROWN,IMSU,1
2019-10-21,10136,BOOT,DARK-BROWN,IMSU,1
2019-10-28,9421,BOOT,DARK-BROWN,IMSU,3
2019-11-04,9189,BOOT,DARK-BROWN,IMSU,2
2019-11-11,9959,BOOT,DARK-BROWN,IMSU,3
2019-11-18,10104,BOOT,DARK-BROWN,IMSU,1
2019-11-25,9317,BOOT,DARK-BROWN,IMSU,3
2019-12-02,10146,BOOT,DARK-BROWN,IMSU,3
2019-12-09,12955,BOOT,DARK-BROWN,IMSU,2
2019-12-16,13180,BOOT,DARK-BROWN,IMSU,1
2019-12-23,13667,BOOT,DARK-BROWN,IMSU,2
2019-12-30,8848,BOOT,DARK-BROWN,IMSU,2
2020-01-06,13926,BOOT,DARK-BROWN,IMSU,1
2020-01-13,13822,BOOT,DARK-BROWN,IMSU,1
2020-01-20,11702,BOOT,DARK-BROWN,IMSU,1
2020-01-27,10613,BOOT,DARK-BROWN,IMSU,3
2020-02-03,12485,BOOT,DARK-BROWN,IMSU,2
2020-02-10,12388,BOOT,DARK-BROWN,IMSU,2
2020-02-17,10237,BOOT,DARK-BROWN,IMSU,2
2020-02-24,10502,BOOT,DARK-BROWN,IMSU,1
2020-03-02,11387,BOOT,DARK-BROWN,IMSU,3
2020-03-09,11925,BOOT,DARK-BROWN,IMSU,2
2020-03-16,8845,BOOT,DARK-BROWN,IMSU,3
2020-03-23,7910,BOOT,DARK-BROWN,IMSU,3
2020-03-30,9129,BOOT,DARK-BROWN,IMSU,1
2020-04-06,9335,BOOT,DARK-BROWN,IMSU,1
2020-04-13,7927,BOOT,DARK-BROWN,IMSU,1
2020-04-20,8647,BOOT,DARK-BROWN,IMSU,2
2020-04-27,8635,BOOT,DARK-BROWN,IMSU,3
2020-05-04,10655,BOOT,DARK-BROWN,IMSU,1
2020-05-11,10342,BOOT,DARK-BROWN,IMSU,2
2020-05-18,8609,BOOT,DARK-BROWN,IMSU,3
2020-05-25,8345,BOOT,DARK-BROWN,IMSU,2
2020-06-01,7175,BOOT,DARK-BROWN,IMSU,3
2020-06-08,8614,BOOT,DARK-BROWN,IMSU,2
2020-06-15,8016,BOOT,DARK-BROWN,IMSU,1
2020-06-22,7301,BOOT,DARK-BROWN,IMSU,2
2020-06-29,7577,BOOT,DARK-BROWN,IMSU,3
2020-07-06,8473,BOOT,DARK-BROWN,IMSU,1
2020-07-13,13126,BOOT,DARK-BROWN,IMSU,3
2020-07-20,20126,BOOT,DARK-BROWN,IMSU,2
2020-07-27,22716,BOOT,DARK-BROWN,IMSU,1
2020-08-03,30331,BOOT,DARK-BROWN,IMSU,3
2020-08-10,28257,BOOT,DARK-BROWN,IMSU,3
2020-08-17,31905,BOOT,DARK-BROWN,IMSU,2
2020-08-24,43712,BOOT,DARK-BROWN,IMSU,1
2020-08-31,50701,BOOT,DARK-BROWN,IMSU,2
2020-09-07,18368,BOOT,DARK-BROWN,IMSU,3
2020-09-14,14288,BOOT,DARK-BROWN,IMSU,1
2020-09-21,13403,BOOT,DARK-BROWN,IMSU,2
2020-09-28,13085,BOOT,DARK-BROWN,IMSU,3
2020-10-05,11676,BOOT,DARK-BROWN,IMSU,2
2020-10-12,10487,BOOT,DARK-BROWN,IMSU,3
2020-10-19,8548,BOOT,DARK-BROWN,IMSU,2
2020-10-26,9350,BOOT,DARK-BROWN,IMSU,3
2018-02-05,39954,BOOT,DARK-BROWN,NBPU,3
2018-02-12,35351,BOOT,DARK-BROWN,NBPU,2
2018-02-19,36826,BOOT,DARK-BROWN,NBPU,3
2018-02-26,34660,BOOT,DARK-BROWN,NBPU,3
2018-03-05,38086,BOOT,DARK-BROWN,NBPU,1
2018-03-12,32668,BOOT,DARK-BROWN,NBPU,1
2018-03-19,34118,BOOT,DARK-BROWN,NBPU,1
2018-03-26,33872,BOOT,DARK-BROWN,NBPU,2
2018-04-02,37809,BOOT,DARK-BROWN,NBPU,2
2018-04-09,36174,BOOT,DARK-BROWN,NBPU,3
2018-04-16,34740,BOOT,DARK-BROWN,NBPU,2
2018-04-23,33806,BOOT,DARK-BROWN,NBPU,3
2018-04-30,33437,BOOT,DARK-BROWN,NBPU,3
2018-05-07,37168,BOOT,DARK-BROWN,NBPU,2
2018-05-14,33657,BOOT,DARK-BROWN,NBPU,1
2018-05-21,35571,BOOT,DARK-BROWN,NBPU,1
2018-05-28,36380,BOOT,DARK-BROWN,NBPU,1
2018-06-04,40548,BOOT,DARK-BROWN,NBPU,2
2018-06-11,36579,BOOT,DARK-BROWN,NBPU,2
2018-06-18,35059,BOOT,DARK-BROWN,NBPU,1
2018-06-25,34454,BOOT,DARK-BROWN,NBPU,2
2018-07-02,39773,BOOT,DARK-BROWN,NBPU,1
2018-07-09,39781,BOOT,DARK-BROWN,NBPU,1
2018-07-16,35234,BOOT,DARK-BROWN,NBPU,1
2018-07-23,36624,BOOT,DARK-BROWN,NBPU,2
2018-07-30,36419,BOOT,DARK-BROWN,NBPU,3
2018-08-06,40973,BOOT,DARK-BROWN,NBPU,3
2018-08-13,36461,BOOT,DARK-BROWN,NBPU,2
2018-08-20,39706,BOOT,DARK-BROWN,NBPU,3
2018-08-27,36404,BOOT,DARK-BROWN,NBPU,2
2018-09-03,38321,BOOT,DARK-BROWN,NBPU,3
2018-09-10,36603,BOOT,DARK-BROWN,NBPU,1
2018-09-17,33999,BOOT,DARK-BROWN,NBPU,1
2018-09-24,32497,BOOT,DARK-BROWN,NBPU,3
2018-10-01,34912,BOOT,DARK-BROWN,NBPU,3
2018-10-08,35772,BOOT,DARK-BROWN,NBPU,3
2018-10-15,34693,BOOT,DARK-BROWN,NBPU,3
2018-10-22,32902,BOOT,DARK-BROWN,NBPU,2
2018-10-29,35202,BOOT,DARK-BROWN,NBPU,3
2018-11-05,37980,BOOT,DARK-BROWN,NBPU,2
2018-11-12,35008,BOOT,DARK-BROWN,NBPU,1
2018-11-19,37078,BOOT,DARK-BROWN,NBPU,3
2018-11-26,46201,BOOT,DARK-BROWN,NBPU,2
2018-12-03,37110,BOOT,DARK-BROWN,NBPU,3
2018-12-10,36364,BOOT,DARK-BROWN,NBPU,1
2018-12-17,39154,BOOT,DARK-BROWN,NBPU,1
2018-12-24,47893,BOOT,DARK-BROWN,NBPU,3
2018-12-31,36913,BOOT,DARK-BROWN,NBPU,2
2019-01-07,37947,BOOT,DARK-BROWN,NBPU,2
2019-01-14,34393,BOOT,DARK-BROWN,NBPU,3
2019-01-21,33735,BOOT,DARK-BROWN,NBPU,1
2019-01-28,32905,BOOT,DARK-BROWN,NBPU,1
2019-02-04,35870,BOOT,DARK-BROWN,NBPU,3
2019-02-11,37373,BOOT,DARK-BROWN,NBPU,3
2019-02-18,36479,BOOT,DARK-BROWN,NBPU,1
2019-02-25,33677,BOOT,DARK-BROWN,NBPU,3
2019-03-04,37943,BOOT,DARK-BROWN,NBPU,1
